"route_id","service_id","trip_id","trip_headsign","trip_short_name","direction_id","block_id","shape_id","wheelchair_accessible","bikes_allowed"
"100716-1","100716-700_Timetable_-_2019-01","100716-efda7bb1417bb798a943","Terminal de Camiones Gómez Portugal","","","","","",""
"100716-1","100716-700_Timetable_-_2019-01","100716-7da59660f90c50d6e40c","Terminal de Camiones Gómez Portugal","","","","","",""
"100716-1","100716-700_Timetable_-_2019-01","100716-e97135f68fcbdcaf224a","Terminal de Camiones Gómez Portugal","","","","","",""
"100716-1","100716-700_Timetable_-_2019-01","100716-6452efbfe469e4e9eb45","Terminal de Camiones Gómez Portugal","","","","","",""
"100716-1","100716-700_Timetable_-_2019-01","100716-2942cc5bfe50856c75b6","Terminal de Camiones Gómez Portugal","","","","","",""
"100716-1","100716-700_Timetable_-_2019-01","100716-1216e243325bf6f65585","Terminal de Camiones Gómez Portugal","","","","","",""
"100716-1","100716-700_Timetable_-_2019-01","100716-f186e735f686c446acfe","Terminal de Camiones Gómez Portugal","","","","","",""
"100716-1","100716-700_Timetable_-_2019-01","100716-4b97b234232f37f30112","Terminal de Camiones Gómez Portugal","","","","","",""
"100716-1","100716-700_Timetable_-_2019-01","100716-69b04bea3028bfbc96ac","Terminal de Camiones Gómez Portugal","","","","","",""
"100716-1","100716-700_Timetable_-_2019-01","100716-21cfe26c339041a3d689","Terminal de Camiones Gómez Portugal","","","","","",""
"100716-1","100716-700_Timetable_-_2019-01","100716-8039ba92457355a11d09","Terminal de Camiones Gómez Portugal","","","","","",""
"100716-1","100716-700_Timetable_-_2019-01","100716-a6d55124220c02474efb","Terminal de Camiones Gómez Portugal","","","","","",""
"100716-1","100716-700_Timetable_-_2019-01","100716-b63c91c18662e8ef50b2","Terminal de Camiones Gómez Portugal","","","","","",""
"100716-1","100716-700_Timetable_-_2019-01","100716-ca3d0da7f5cac1ab35ec","Terminal de Camiones Gómez Portugal","","","","","",""
"100716-1","100716-700_Timetable_-_2019-01","100716-774ff0671eb6df4e4da5","Terminal de Camiones Gómez Portugal","","","","","",""
"100716-1","100716-700_Timetable_-_2019-01","100716-84ba972aa4ebec64f44a","Terminal de Camiones Gómez Portugal","","","","","",""
"100716-1","100716-700_Timetable_-_2019-01","100716-e22b1e74b4764af0bd37","Terminal de Camiones Gómez Portugal","","","","","",""
"100716-1","100716-700_Timetable_-_2019-01","100716-0d1bba895b2d6ad5c4e7","Terminal de Camiones Gómez Portugal","","","","","",""
"100716-1","100716-700_Timetable_-_2019-01","100716-3b79f3da1ab01c0ae6c1","Terminal de Camiones Gómez Portugal","","","","","",""
"100716-1","100716-700_Timetable_-_2019-01","100716-de7be7b1ea7c57217640","Terminal de Camiones Gómez Portugal","","","","","",""
"100716-1","100716-700_Timetable_-_2019-01","100716-99ff16ba7e8249814e11","Terminal de Camiones Gómez Portugal","","","","","",""
"100716-1","100716-700_Timetable_-_2019-01","100716-2eec9f39a3aa3a8271ff","Terminal de Camiones Gómez Portugal","","","","","",""
"100716-1","100716-700_Timetable_-_2019-01","100716-355cc9a9f92a9d4654e6","Terminal de Camiones Gómez Portugal","","","","","",""
"100716-1","100716-700_Timetable_-_2019-01","100716-9dca5e10925731de8554","Terminal de Camiones Gómez Portugal","","","","","",""
"100716-1","100716-700_Timetable_-_2019-01","100716-02239e0fde1a277c3b38","Terminal de Camiones Gómez Portugal","","","","","",""
"100716-1","100716-700_Timetable_-_2019-01","100716-bc2591a6b65af123b94f","Terminal de Camiones Gómez Portugal","","","","","",""
"100716-1","100716-700_Timetable_-_2019-01","100716-90590182654ce9949e63","Terminal de Camiones Gómez Portugal","","","","","",""
"100716-1","100716-700_Timetable_-_2019-01","100716-629b5a00fc6a95661492","Terminal de Camiones Gómez Portugal","","","","","",""
"100716-1","100716-700_Timetable_-_2019-01","100716-5367d4e46a808c4afabd","Terminal de Camiones Gómez Portugal","","","","","",""
"100716-1","100716-700_Timetable_-_2019-01","100716-b100e70029729de94a9f","Terminal de Camiones Gómez Portugal","","","","","",""
"100716-1","100716-700_Timetable_-_2019-01","100716-29867f5469cccdc7bad0","Terminal de Camiones Gómez Portugal","","","","","",""
"100716-1","100716-700_Timetable_-_2019-01","100716-83d114505ade184e8b0e","Terminal de Camiones Gómez Portugal","","","","","",""
"100716-1","100716-700_Timetable_-_2019-01","100716-08dc4793cae6a1968d98","Terminal de Camiones Gómez Portugal","","","","","",""
"100716-1","100716-700_Timetable_-_2019-01","100716-25d6d55159a45af59aa7","Terminal de Camiones Gómez Portugal","","","","","",""
"100716-1","100716-700_Timetable_-_2019-01","100716-44b6fa6d07f0885ccd17","Terminal de Camiones Gómez Portugal","","","","","",""
"100716-1","100716-700_Timetable_-_2019-01","100716-cf8842b1608f32c547e3","Terminal de Camiones Gómez Portugal","","","","","",""
