stop_id,stop_code,stop_name,stop_lat,stop_lon,wheelchair_boarding
100716-PETMEX-ENR1:1,30,Petróleos Mexicanos - Gral. Enrique Estrada,21.892725,-102.293659,0
100716-JOSE-BARRAG1:1,31,Prof Jose Reyes Martinez - General Miguel Barragan,21.896351,-102.291923,0
100716-BARRAG-ALFRED1:1,32,General Miguel Barragan - Calle Alfredo Lewis,21.899434,-102.292305,0
100716-ZAC-CELSO1:1,33,Blvd. A Zacatecas - Celso Bernal,21.903032,-102.292382,0
100716-ZAC-EBA1:1,34,Blvd. A Zacatecas - Ébano,21.904559,-102.292337,0
100716-ZAC-AGLA1:1,35,Blvd. A Zacatecas - Aglaya,21.907435,-102.292227,0
100716-NACOZ-NORT1:1,36,Av. Héroe de Nacozari Nte,21.911552,-102.291545,0
100716-ZAC-ALTARIA1:1,37,Blvd. A Zacatecas - Centro Comercial Altaria,21.924528,-102.291201,0
100716-ZAC-ESPEC1_1:1,38,Blvd. A Zacatecas - Pasteurizadora Aguascalientes,21.929363,-102.291237,0
100716-ZAC-ESPEC2_1:1,39,Blvd. A Zacatecas - Duragas,21.933354,-102.291051,0
100716-ZAC-ESPEC3_1:1,40,Blvd. A Zacatecas - San Francisco de los Romos,21.942322,-102.290691,0
100716-ZAC-FLEX1:1,41,Blvd. A Zacatecas - Flextronics,21.961448,-102.289271,0
100716-CARRE45-PARQ1:1,42,Carretera Federal 45 - Parque Industrial,21.966009,-102.289553,0
100716-CARRE45-SFR1:1,43,Carretera Federal 45 - San Francisco de los Romos,21.969405,-102.289431,0
100716-CARRE45-VIÑ1:1,44,Carretera Federal 45 - Viñedos Rivier,21.973318,-102.289231,0
100716-PANAM1:1,45,Carretera Panamericana,21.990386,-102.290761,0
100716-PANAM-BUGA1:1,46,Carretera Panamericana - Bugambilia,21.998119,-102.288154,0
100716-MARG-PORT1:1,47,Calle Paseo Margaritas - Paseos Gómez Portugal,22.003071,-102.291168,0
100716-GOMETERM1:1,48,Terminal de Camiones Gómez Portugal,22.001229,-102.295569,0
100716-MARG-ANT1:2,49,Calle Paseo Margaritas - Calle Paseo San Antonio,22.002467,-102.289374,0
100716-MARG-PORT2_1:2,50,Calle Paseo Margaritas - Paseos Gómez Portugal,22.001401,-102.288511,0
100716-PANAM1:2,51,Carretera Panamericana,21.999081,-102.288491,0
100716-PANAM-MOR1:2,52,Carretera Panamericana - Morelos,21.993331,-102.288709,0
100716-ARGE-REAL1:2,53,Paseo de Argenta - Los Reales,21.987991,-102.290013,0
100716-NAGRO-SAN1:2,54,Nuevo Agropecuario - Viñedos San Marcos,21.969947,-102.289912,0
100716-ZAC-MARAV1:2,55,Blvd. A Zacatecas - Calle Paseos de Maravillas,21.968447,-102.290021,0
100716-VENAD-PASE1:2,56,Calle Paseos de Venaderos - Calle Paseo de Frutilandia,21.963279,-102.292356,0
100716-FLEXTRONIX1:2,57,Flextronics,21.960241,-102.29024,0
100716-NIHER-ZAC1:2,58,Av. Niños Heroes - Blvd. A Zacatecas,21.938811,-102.29141,0
100716-ZAC-BODE1:2,59,Blvd. A Zacatecas - Mini bodegas Guardabox,21.933391,-102.291399,0
100716-LUIS-ZAC1:2,60,Luis Gil - Blvd. A Zacatecas,21.930933,-102.291932,0
100716-ZAC-TROJEH1:2,61,Blvd. A Zacatecas - Hotel Las Trojes,21.926336,-102.291823,0
100716-ZAC-GALER1:2,62,Blvd. A Zacatecas - Galerias,21.923876,-102.291981,0
100716-ZAC-AGROPE1:2,63,Blvd. A Zacatecas - Agropecuario,21.913825,-102.292272,0
